PatientAccessionIdentifier,NHSNumber,HospitalNumber,PatientFamilyName,PatientGivenName,DateOfBirth,AdministrativeSex,PostCode,HospitalSpellIdentifier,OrderingProviderIdentifier,OrderingProviderName,RequestingOrganisationCode,RequestingOrganisationName,PlacerOrderNumber,FMIIdentifier,FillerOrderNumber,OrderStatus,ReportStatusDateTime,ReportIdentifier,NGTDTestCode,NGTDTestName,TestCode,TestAccessionIdentifier,TestOrderDate,ObservationResultStatus,ObservationDateTime,ObservationIdentifierCode,ObservationIdentifierDescription,SpecimenTakenDateTime,SpecimenReceivedDateTime,SpecimenAccessionIdentifier,SpecimenTypeCode,SpecimenTypeDescription
200026,9737383273,RMC7021955,BOLTON,Ramsay,1985-05-13,Male,BL1 8SF,,SH_RPT,Dr Ross Pettifer,RMC,Bolton NHS Foundation Trust,P26-BKGK,,T26-ZB1B,Testing,26 Jun 2026 15:00,R26-3U6T,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-ZB1B,18 Jun 2026 13:00,F,26 Jun 2026 09:00,,,20 Jun 2026 07:00,20 Jun 2026 23:00,S26-PWX5,BL,Blood
200008,9737383389,RXR5797566,BURNLEY,Selyse,1967-09-18,Female,BB10 2PQ,,SH_AMK,Dr Amelia Kinnear,RXR,East Lancashire Hospitals NHS Trust,P26-MU4P,,T26-83QO,Testing,13 Jul 2026 16:00,R26-EGO8,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-83QO,05 Jul 2026 09:00,F,12 Jul 2026 09:00,,,05 Jul 2026 17:00,06 Jul 2026 08:00,S26-ZSIM,BL,Blood
200031,9737383281,RBT5094163,CONGLETON,Margaery,1982-02-11,Female,CW12 1DT,SP26-00012,SH_AMK,Dr Amelia Kinnear,RBT,Mid Cheshire Hospitals NHS Foundation Trust,P26-GQFU,,T26-BIP1,Testing,13 Jun 2026 02:00,R26-8LHK,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-BIP1,01 Jun 2026 08:00,F,12 Jun 2026 06:00,,,01 Jun 2026 12:00,02 Jun 2026 01:00,S26-2RO2,BL,Blood
200029,9737873998,RXP7136968,DURHAM,Alicent,1993-12-27,Female,DH1 3HP,,SH_JJE,Dr Jonathan Edgerley,RXP,County Durham and Darlington NHS Foundation Trust,P26-XRFB,,T26-I9KK,Testing,07 May 2026 14:00,R26-X6MO,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-I9KK,29 Apr 2026 15:00,F,06 May 2026 03:00,,,30 Apr 2026 09:00,01 May 2026 01:00,S26-MBST,BL,Blood
200048,9737873963,RWA4931899,HULL,Yara,1981-04-23,Female,HU3 2JZ,,SH_LDW,Dr Leah Woodford,RWA,Hull University Teaching Hospitals NHS Trust,P26-OCKI,,T26-CPFT,Testing,27 Jun 2026 19:00,R26-XRWO,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-CPFT,14 Jun 2026 15:00,F,27 Jun 2026 00:00,,,15 Jun 2026 00:00,16 Jun 2026 23:00,S26-7MO8,BL,Blood
200016,9737383397,RMP6419544,TAMESIDE,Hodor,1960-07-27,Male,OL6 9RW,,SH_AMK,Dr Amelia Kinnear,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,P26-5002,,T26-A7XI,Testing,13 Feb 2026 05:00,R26-AGQF,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-A7XI,02 Feb 2026 11:00,F,12 Feb 2026 10:00,,,02 Feb 2026 21:00,04 Feb 2026 04:00,S26-0DPI,BL,Blood
32737,9737383222,RR83108802,LEEDS,Rob,1978-01-17,Male,LS1 3EX,,SH_AMK,Dr Amelia Kinnear,RR8,Leeds Teaching Hospitals NHS Trust,P26-KOYR,,T26-6J4J,Testing,05 Feb 2026 12:00,R26-J5TV,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-6J4J,29 Jan 2026 10:00,F,05 Feb 2026 11:00,,,30 Jan 2026 19:00,31 Jan 2026 11:00,S26-BUWH,BL,Blood
200012,9737873858,RHQ5948241,SHEFFIELD,Theon,1986-09-12,Male,S1 2JF,,SH_JJE,Dr Jonathan Edgerley,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,P26-FT0B,,T26-7BGE,Testing,03 Aug 2026 09:00,R26-QAG5,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-7BGE,19 Jul 2026 17:00,F,02 Aug 2026 05:00,,,20 Jul 2026 00:00,21 Jul 2026 04:00,S26-Y5VV,BL,Blood
200063,9737383354,RTX3170820,KENDAL,Tormund,1978-12-07,Male,LA9 4QS,,SH_LDW,Dr Leah Woodford,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,P26-40NC,,T26-DOJ5,Testing,21 Jun 2026 00:00,R26-37AL,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-DOJ5,10 Jun 2026 08:00,F,19 Jun 2026 16:00,,,10 Jun 2026 09:00,10 Jun 2026 16:00,S26-P460,BL,Blood
200003,9737383362,RNN1799141,BROUGH,Gilly,1989-07-01,Female,HU15 1EG,SP26-00013,SH_JJE,Dr Jonathan Edgerley,RNN,North Cumbria Integrated Care NHS Foundation Trust,P26-Z004,,T26-3BRL,Testing,23 Apr 2026 03:00,R26-6SGG,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-3BRL,10 Apr 2026 17:00,F,22 Apr 2026 07:00,,,11 Apr 2026 23:00,13 Apr 2026 06:00,S26-0EVW,BL,Blood
32737,9737383222,RR83108802,LEEDS,Rob,1978-01-17,Male,LS1 3EX,,SH_LDW,Dr Leah Woodford,RR8,Leeds Teaching Hospitals NHS Trust,P26-B8ZD,,T26-I5AR,Testing,20 Jul 2026 13:00,R26-5Z3X,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-I5AR,08 Jul 2026 09:00,F,20 Jul 2026 06:00,,,09 Jul 2026 11:00,09 Jul 2026 18:00,S26-2SGU,BL,Blood
32737,9737383222,RR83108802,LEEDS,Rob,1978-01-17,Male,LS1 3EX,,SH_JJE,Dr Jonathan Edgerley,RR8,Leeds Teaching Hospitals NHS Trust,P26-PC73,,T26-GTY4,Testing,08 Jul 2026 03:00,R26-MKDZ,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-GTY4,26 Jun 2026 12:00,F,06 Jul 2026 21:00,,,27 Jun 2026 10:00,27 Jun 2026 21:00,S26-O51C,BL,Blood
200021,9737383206,REM7442130,LIVERPOOL,Ned,1942-06-18,Male,L7 8XP,,SH_AMK,Dr Amelia Kinnear,REM,Liverpool University Hospitals NHS Foundation Trust,P26-RM3P,,T26-53LN,Testing,25 Jan 2026 13:00,R26-SJMN,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-53LN,16 Jan 2026 08:00,F,24 Jan 2026 13:00,,,16 Jan 2026 20:00,18 Jan 2026 02:00,S26-6MZW,BL,Blood
200000,9737383192,R0A4990415,MANCHESTER,Sansa,1972-09-21,Female,M13 9PL,,SH_RPT,Dr Ross Pettifer,R0A,Manchester University NHS Foundation Trust,P26-YGH6,,T26-R1A0,Testing,08 May 2026 10:00,R26-SD04,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-R1A0,30 Apr 2026 10:00,F,07 May 2026 13:00,,,30 Apr 2026 20:00,01 May 2026 13:00,S26-EE5B,BL,Blood
200009,9737873882,RAE9191583,BRADFORD,Rodrik,1942-09-20,Male,BD9 6RJ,,SH_JJE,Dr Jonathan Edgerley,RAE,Bradford Teaching Hospitals NHS Foundation Trust,P26-TE0U,,T26-XMDX,Testing,20 Jun 2026 09:00,R26-HR4V,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-XMDX,10 Jun 2026 15:00,F,20 Jun 2026 07:00,,,11 Jun 2026 05:00,13 Jun 2026 01:00,S26-ZJGH,BL,Blood
200024,9737383338,RWJ7613989,BUXTON,Lysa,1971-01-01,Female,SK17 6TE,,SH_JJE,Dr Jonathan Edgerley,RWJ,Stockport NHS Foundation Trust,P26-35NV,,T26-0Y0J,Testing,20 Feb 2026 07:00,R26-0DCJ,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-0Y0J,08 Feb 2026 12:00,F,18 Feb 2026 20:00,,,09 Feb 2026 03:00,10 Feb 2026 18:00,S26-3VRA,BL,Blood
200012,9737873858,RHQ5948241,SHEFFIELD,Theon,1986-09-12,Male,S1 2JF,SP26-00014,SH_LDW,Dr Leah Woodford,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,P26-5P9G,,T26-T82B,Testing,25 Jul 2026 20:00,R26-ALTO,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-T82B,19 Jul 2026 11:00,F,25 Jul 2026 19:00,,,19 Jul 2026 22:00,20 Jul 2026 17:00,S26-383M,BL,Blood
200024,9737383338,RWJ7613989,BUXTON,Lysa,1971-01-01,Female,SK17 6TE,,SH_LDW,Dr Leah Woodford,RWJ,Stockport NHS Foundation Trust,P26-L5JR,,T26-JEQD,Testing,15 May 2026 16:00,R26-Y6TE,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-JEQD,04 May 2026 13:00,F,15 May 2026 03:00,,,05 May 2026 20:00,06 May 2026 01:00,S26-I4XO,BL,Blood
200008,9737383389,RXR5797566,BURNLEY,Selyse,1967-09-18,Female,BB10 2PQ,,SH_LDW,Dr Leah Woodford,RXR,East Lancashire Hospitals NHS Trust,P26-38PO,,T26-KO8I,Testing,10 Jun 2026 04:00,R26-30EE,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-KO8I,30 May 2026 10:00,F,10 Jun 2026 00:00,,,01 Jun 2026 02:00,02 Jun 2026 21:00,S26-FTUA,BL,Blood
32737,9737383222,RR83108802,LEEDS,Rob,1978-01-17,Male,LS1 3EX,,SH_RPT,Dr Ross Pettifer,RR8,Leeds Teaching Hospitals NHS Trust,P26-ZQ4I,,T26-KO8B,Testing,25 Jun 2026 10:00,R26-E7SM,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-KO8B,09 Jun 2026 15:00,F,24 Jun 2026 06:00,,,11 Jun 2026 09:00,11 Jun 2026 19:00,S26-76X1,BL,Blood
200006,9737383214,RTX7565482,LANCASTER,Jaime,1970-07-27,Male,LA1 1RP,,SH_AMK,Dr Amelia Kinnear,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,P26-H6FO,,T26-HN56,Testing,21 Jul 2026 07:00,R26-HALC,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-HN56,11 Jul 2026 16:00,F,19 Jul 2026 22:00,,,13 Jul 2026 15:00,14 Jul 2026 13:00,S26-KJZT,BL,Blood
200013,9737383311,RBT1044193,NORTHWICH,Mace,1957-01-19,Male,CW9 5RL,,SH_RPT,Dr Ross Pettifer,RBT,Mid Cheshire Hospitals NHS Foundation Trust,P26-K7P6,,T26-H0SY,Testing,16 Apr 2026 04:00,R26-E58P,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-H0SY,01 Apr 2026 10:00,F,14 Apr 2026 18:00,,,02 Apr 2026 06:00,03 Apr 2026 12:00,S26-E7AN,BL,Blood
